Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
54000	-33411.49677861708	-33164.52548374428	-246.9712948728052	582.2700935419691	0.3647886610191359	61.0607427298075	31.711251453582026	46.701187562300184	1079.7332805497063	-33164.52548374428
55000	-33410.29716792574	-33163.027591428334	-247.2695764974053	882.9210285493956	0.36780414360032365	66.04468840645306	31.711251453582026	49.240236387880145	1106.8531832163383	-33163.027591428334
56000	-33407.63354211071	-33162.16630029754	-245.46724181316503	957.5306888738155	0.42014729718156174	66.04468840645306	31.711251453582026	48.40616046586939	1107.0343424338425	-33162.16630029754
57000	-33418.870479065314	-33169.7508549948	-249.11962407051243	807.7487208203728	0.3328928107956176	71.57612952993155	31.711251453582026	48.86720498285572	1095.2466822704444	-33169.7508549948
58000	-33411.05068444813	-33164.99144337312	-246.05924107501	854.2519868837448	0.447165790897751	64.04312640342273	33.13874466857422	49.222426387189955	1111.1195174986801	-33164.99144337312
59000	-33413.101078006155	-33167.70091119384	-245.40016681231725	853.0838866793932	0.48006459785021516	64.04312640342273	33.13874466857422	48.113710352676044	1088.5153306027516	-33167.70091119384
60000	-33421.81766962636	-33175.110540411784	-246.70712921457772	724.6150461343525	0.43935061005369896	79.64229368740416	33.13874466857422	47.67879611963148	1094.2943280461125	-33175.110540411784
61000	-33412.8783673596	-33166.14880769999	-246.72955965960864	918.9540152038596	0.4877489154434359	60.92446278926453	33.13874466857422	48.09048836910762	1092.1174360921618	-33166.14880769999
62000	-33410.70322871615	-33163.273692375034	-247.429536341114	689.9388132957283	0.40214995853213936	63.969055964212224	33.13874466857422	48.973374108468605	1084.0831495460504	-33163.273692375034
63000	-33423.89132669197	-33177.837035044584	-246.05429164738572	506.6817446417928	0.38423860938182663	63.969055964212224	33.83720336721042	48.95411073794819	1105.7098829211536	-33177.837035044584
64000	-33413.16781086499	-33165.37777207888	-247.79003878610885	826.0737180718895	0.32229559294163834	73.00406331341017	29.13765000055793	48.19053892559671	1080.4550572491537	-33165.37777207888
