Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
138000	-4806.217237327315	-4713.566527396519	-92.65070993079607	49.84745480189756	7.7731400535002475	1.3636523676070136	1.6822282398722248	48.746807848751	-4713.566527396519
139000	-4808.775220586887	-4720.393698246658	-88.3815223402298	66.85990194337462	7.7731400535002475	1.3636523676070136	1.6822282398722248	48.05152912505422	-4720.393698246658
140000	-4808.561307801143	-4715.712272692933	-92.84903510821027	52.46544229174701	7.7731400535002475	1.3636523676070136	1.67438103635386	48.00159392375499	-4715.712272692933
141000	-4810.915005200313	-4718.21915847308	-92.69584672723353	50.706627337812634	7.163139379941171	1.3636523676070136	1.6886526126920314	48.791597227881546	-4718.21915847308
142000	-4800.379729640997	-4708.418572455412	-91.96115718558514	50.85929453252637	7.163139379941171	1.3555275254155368	1.6887098702781622	48.82754389826624	-4708.418572455412
143000	-4809.543444695469	-4714.364552719861	-95.17889197560761	45.25341252092343	7.004967709726544	1.3555275254155368	1.6887098702781622	48.84940293754873	-4714.364552719861
144000	-4798.311220456578	-4709.197947546159	-89.11327291041853	46.09448752601403	7.238976934864159	1.3555275254155368	1.686129819032613	48.68560527912994	-4709.197947546159
145000	-4798.798067218969	-4708.621974217747	-90.17609300122176	55.07749964330966	7.238976934864159	1.3555275254155368	1.687368046037787	49.151894755711396	-4708.621974217747
146000	-4798.194466569295	-4712.300611962698	-85.89385460659723	53.08882205491743	7.972938147960459	1.3555275254155368	1.681520004706288	49.15996915443142	-4712.300611962698
147000	-4799.961353750359	-4710.3388783858945	-89.6224753644651	53.08882205491743	8.210887735903263	1.3555275254155368	1.681520004706288	48.16231997264529	-4710.3388783858945
148000	-4804.279895364504	-4711.188195694262	-93.091699670243	50.14327335920207	8.210887735903263	1.3555275254155368	1.672177152596246	47.28795901781744	-4711.188195694262
149000	-4806.0396980825935	-4707.77602711802	-98.26367096457368	27.29390157461446	7.633451649619113	1.3555275254155368	1.687863606510652	46.99520450888558	-4707.77602711802
150000	-4812.004084021635	-4716.956775342757	-95.0473086788778	29.696750664030883	7.633451649619113	1.3555275254155368	1.6624719117036697	47.93933466434091	-4716.956775342757
151000	-4799.952032603484	-4711.0080122814215	-88.94402032206271	72.93179749089403	8.919865169810596	1.3555275254155368	1.644242713631944	48.128043467029855	-4711.0080122814215
152000	-4801.765194279193	-4712.1582975039	-89.60689677529248	39.302258446287844	8.770911699325666	1.3555275254155368	1.6438698677590866	49.05890389691308	-4712.1582975039
153000	-4806.078509767551	-4714.735220467041	-91.34328930051039	37.256201046818965	8.371262976470204	1.3555275254155368	1.6438698677590866	48.80314615313926	-4714.735220467041
154000	-4814.046058837356	-4718.434915232452	-95.61114360490376	39.36234450613139	8.485038718072396	1.3555275254155368	1.6537060902023133	45.59790046830702	-4718.434915232452
155000	-4807.543949408071	-4713.060626110166	-94.48332329790514	47.08627049440906	8.600615838898056	1.3555275254155368	1.6537060902023133	48.40311018087952	-4713.060626110166
156000	-4819.669578240603	-4722.590208819768	-97.07936942083504	56.053291227598805	7.351027254293134	1.3555275254155368	1.706298306969203	49.153715272887666	-4722.590208819768
157000	-4810.265924687938	-4720.080412359299	-90.18551232863972	62.600692294660334	7.351027254293134	1.3555275254155368	1.6895374071878628	49.61175503211143	-4720.080412359299
158000	-4811.600330147055	-4716.324722200279	-95.27560794677517	55.81130067722308	6.988917344242479	1.3555275254155368	1.6895374071878628	49.58363084246743	-4716.324722200279
159000	-4814.2274119906115	-4715.64415346486	-98.58325852575089	45.36798055234852	6.988917344242479	1.3555275254155368	1.709626239750221	48.285509085062905	-4715.64415346486
160000	-4805.983184805371	-4715.02739203504	-90.95579277033112	58.57199502907359	6.988917344242479	1.3555275254155368	1.72676711795947	49.37594672307434	-4715.02739203504
161000	-4816.093825713524	-4714.505582013621	-101.58824369990302	50.387652853628616	6.988917344242479	1.3555275254155368	1.72676711795947	49.03297883893257	-4714.505582013621
162000	-4807.634133921919	-4715.323102746264	-92.31103117565488	71.22507326658751	6.988917344242479	1.3555275254155368	1.7304214148093509	49.65464421820208	-4715.323102746264
163000	-4806.004743792884	-4711.914978965986	-94.08976482689873	44.296220785902825	6.300181566874042	1.3555275254155368	1.7440578570342378	49.51596145306963	-4711.914978965986
164000	-4805.2117295154485	-4713.916113495675	-91.29561601977339	69.74354330582933	7.100155003592896	1.3555275254155368	1.722309934738441	49.90054286866708	-4713.916113495675
165000	-4806.282254021851	-4711.525821022018	-94.75643299983271	32.94494106239163	7.0995300323447506	1.3555275254155368	1.6800650097359873	47.96513171708612	-4711.525821022018
166000	-4800.914862136246	-4707.460110385076	-93.45475175116925	52.53349359725111	7.0995300323447506	1.3555275254155368	1.6997419898792778	49.17551745745156	-4707.460110385076
167000	-4802.869248392631	-4712.403419401145	-90.46582899148633	46.63110803724856	7.0995300323447506	1.3555275254155368	1.6905630621311787	49.251593160234066	-4712.403419401145
168000	-4809.109865648266	-4721.421645410307	-87.68822023795921	63.92840753952622	7.4333182286446435	1.3472807497056518	1.6777515726885048	48.97505295960583	-4721.421645410307
169000	-4799.725884339502	-4707.0166250854145	-92.70925925408784	85.14689079254123	7.121402998388354	1.3472807497056518	1.6900776078627182	49.31612200705713	-4707.0166250854145
